timestamp,emotion
2025-06-02 18:04:54,neutral
2025-06-02 18:04:58,neutral
2025-06-02 18:15:12,neutral
2025-06-02 18:15:16,neutral
2025-06-02 18:15:42,neutral
2025-06-02 18:15:50,neutral
2025-06-02 18:15:59,neutral
2025-06-02 18:16:09,neutral
2025-06-02 18:16:14,neutral
2025-06-02 18:16:17,neutral
2025-06-02 18:16:19,neutral
2025-06-02 18:16:21,neutral
2025-06-02 18:24:41,neutral
2025-06-02 18:24:45,neutral
2025-06-02 18:28:58,neutral
2025-06-02 18:29:02,neutral
2025-06-02 18:29:29,happy
2025-06-02 18:29:51,happy
2025-06-02 18:30:33,neutral
2025-06-02 18:30:35,neutral
2025-06-02 18:30:45,neutral
2025-06-03 09:51:24,neutral
2025-06-03 09:51:28,neutral
2025-06-03 09:51:59,sad
2025-06-03 09:52:40,neutral
2025-06-03 09:52:42,sad
2025-06-03 09:53:09,sad
2025-06-03 09:53:40,sad
2025-06-03 09:53:44,sad
2025-06-03 09:55:18,sad
2025-06-03 10:19:12,neutral
2025-06-03 10:19:17,neutral
2025-06-03 10:20:23,neutral
2025-06-03 10:20:25,neutral
2025-06-03 10:20:48,neutral
2025-06-03 10:20:50,happy
2025-06-03 10:22:12,neutral
2025-06-03 10:22:14,neutral
2025-06-03 10:22:55,neutral
2025-06-03 10:22:57,happy
2025-06-03 10:23:38,happy
2025-06-03 10:24:29,happy
2025-06-03 10:25:03,neutral
2025-06-03 10:25:05,happy
2025-06-03 10:25:25,neutral
2025-06-03 10:25:27,neutral
2025-06-03 10:26:04,neutral
2025-06-03 10:26:06,happy
2025-06-03 10:27:28,happy
2025-06-03 11:34:28,neutral
2025-06-03 11:34:31,neutral
2025-06-03 11:35:22,neutral
2025-06-03 11:35:24,neutral
2025-06-03 11:35:45,neutral
2025-06-03 11:35:47,neutral
2025-06-03 11:36:07,neutral
2025-06-03 11:36:08,neutral
